0,1,2,3,4
Russia,4 - 2,Saudi Arabia,0,1
Russia,1 - 3,Egypt,0,17
Russia,1 - 3,Uruguay,0,-34
Saudi Arabia,1 - 2,Egypt,0,33
Saudi Arabia,1 - 3,Uruguay,0,-19
Egypt,0 - 1,Uruguay,0,2
Portugal,1 - 2,Spain,0,4
Portugal,4 - 1,Morocco,0,18
Portugal,1 - 2,Iran,0,-35
Spain,7 - 2,Morocco,0,36
Spain,4 - 0,Iran,0,-20
Morocco,2 - 1,Iran,0,3
France,3 - 1,Australia,0,5
France,2 - 0,Peru,0,22
France,1 - 1,Denmark,0,-38
Australia,1 - 0,Peru,0,37
Australia,1 - 3,Denmark,0,-21
Peru,0 - 4,Denmark,0,7
Argentina,4 - 0,Island,0,6
Argentina,1 - 1,Croatia,0,23
Argentina,4 - 0,Nigeria,0,-39
Island,1 - 1,Croatia,0,40
Island,2 - 1,Nigeria,0,-25
Croatia,1 - 1,Nigeria,0,8
Brazil,4 - 0,Switzerland,0,11
Brazil,3 - 0,Costa Rica,0,24
Brazil,3 - 3,Serbia,0,-43
Switzerland,2 - 1,Costa Rica,0,44
Switzerland,1 - 1,Serbia,0,-26
Costa Rica,2 - 2,Serbia,0,9
Germany,3 - 1,Mexico,0,10
Germany,4 - 0,Sweden,0,29
Germany,1 - 1,South Korea,0,-42
Mexico,3 - 0,Sweden,0,41
Mexico,4 - 1,South Korea,0,-28
Sweden,1 - 0,South Korea,0,12
Belgium,1 - 1,Panama,0,13
Belgium,3 - 1,Tunesia,0,27
Belgium,1 - 1,England,0,-45
Panama,1 - 1,Tunesia,0,47
Panama,0 - 2,England,0,-30
Tunesia,1 - 1,England,0,14
Poland,1 - 3,Senegal,0,16
Poland,3 - 1,Colombia,0,32
Poland,2 - 0,Japan,0,-48
Senegal,0 - 3,Colombia,0,46
Senegal,2 - 3,Japan,0,-31
Colombia,3 - 0,Japan,0,15
Russia,3 - 2,Saudi Arabia,1,1
Russia,2 - 0,Egypt,1,17
Russia,2 - 5,Uruguay,1,-34
Saudi Arabia,1 - 5,Egypt,1,33
Saudi Arabia,1 - 2,Uruguay,1,-19
Egypt,0 - 1,Uruguay,1,2
Portugal,2 - 5,Spain,1,4
Portugal,3 - 3,Morocco,1,18
Portugal,3 - 1,Iran,1,-35
Spain,1 - 0,Morocco,1,36
Spain,1 - 1,Iran,1,-20
Morocco,1 - 2,Iran,1,3
France,3 - 2,Australia,1,5
France,0 - 2,Peru,1,22
France,4 - 2,Denmark,1,-38
Australia,3 - 1,Peru,1,37
Australia,1 - 1,Denmark,1,-21
Peru,2 - 0,Denmark,1,7
Argentina,3 - 1,Island,1,6
Argentina,2 - 0,Croatia,1,23
Argentina,3 - 2,Nigeria,1,-39
Island,3 - 1,Croatia,1,40
Island,3 - 1,Nigeria,1,-25
Croatia,0 - 2,Nigeria,1,8
Brazil,3 - 0,Switzerland,1,11
Brazil,3 - 0,Costa Rica,1,24
Brazil,1 - 0,Serbia,1,-43
Switzerland,2 - 1,Costa Rica,1,44
Switzerland,2 - 0,Serbia,1,-26
Costa Rica,2 - 3,Serbia,1,9
Germany,4 - 2,Mexico,1,10
Germany,2 - 1,Sweden,1,29
Germany,2 - 2,South Korea,1,-42
Mexico,1 - 2,Sweden,1,41
Mexico,2 - 2,South Korea,1,-28
Sweden,1 - 1,South Korea,1,12
Belgium,2 - 1,Panama,1,13
Belgium,1 - 0,Tunesia,1,27
Belgium,2 - 2,England,1,-45
Panama,2 - 1,Tunesia,1,47
Panama,0 - 2,England,1,-30
Tunesia,0 - 2,England,1,14
Poland,4 - 1,Senegal,1,16
Poland,0 - 1,Colombia,1,32
Poland,2 - 1,Japan,1,-48
Senegal,3 - 0,Colombia,1,46
Senegal,0 - 0,Japan,1,-31
Colombia,3 - 0,Japan,1,15
Russia,3 - 2,Saudi Arabia,2,1
Russia,1 - 0,Egypt,2,17
Russia,2 - 2,Uruguay,2,-34
Saudi Arabia,2 - 2,Egypt,2,33
Saudi Arabia,1 - 2,Uruguay,2,-19
Egypt,0 - 0,Uruguay,2,2
Portugal,3 - 2,Spain,2,4
Portugal,2 - 2,Morocco,2,18
Portugal,3 - 1,Iran,2,-35
Spain,3 - 2,Morocco,2,36
Spain,5 - 4,Iran,2,-20
Morocco,5 - 0,Iran,2,3
France,2 - 1,Australia,2,5
France,2 - 0,Peru,2,22
France,1 - 1,Denmark,2,-38
Australia,0 - 2,Peru,2,37
Australia,0 - 3,Denmark,2,-21
Peru,0 - 4,Denmark,2,7
Argentina,2 - 3,Island,2,6
Argentina,2 - 2,Croatia,2,23
Argentina,2 - 0,Nigeria,2,-39
Island,1 - 3,Croatia,2,40
Island,1 - 0,Nigeria,2,-25
Croatia,4 - 0,Nigeria,2,8
Brazil,2 - 0,Switzerland,2,11
Brazil,5 - 1,Costa Rica,2,24
Brazil,3 - 1,Serbia,2,-43
Switzerland,4 - 1,Costa Rica,2,44
Switzerland,2 - 2,Serbia,2,-26
Costa Rica,2 - 0,Serbia,2,9
Germany,2 - 0,Mexico,2,10
Germany,1 - 1,Sweden,2,29
Germany,3 - 0,South Korea,2,-42
Mexico,2 - 1,Sweden,2,41
Mexico,2 - 1,South Korea,2,-28
