;;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
1999;Lohn- und veranlagte Einkommenssteuer (Bund);4770424;3248528;4593955;3841968;3865702;6508042;4376795;4126936;6557046;3742821;3829553;12034050
2000;Lohn- und veranlagte Einkommenssteuer (Bund);4751760;3701576;4510742;3981841;4192974;6847190;4561977;4002316;6897459;3895489;3784630;11754106
2001;Lohn- und veranlagte Einkommenssteuer (Bund);4903309;3578260;3780249;3756955;3958986;6804324;4275798;3996955;6502401;3678143;3638711;11219751
2002;Lohn- und veranlagte Einkommenssteuer (Bund);4588428;3492419;3282972;3855685;4009673;6725101;4439791;3959103;6566598;3613473;3564873;11287284
2003;Lohn- und veranlagte Einkommenssteuer (Bund);4554765;3417360;2712496;3834606;3976852;6750868;4381879;3985249;6558449;3680433;3613352;11031963
2004;Lohn- und veranlagte Einkommenssteuer (Bund);4442880;3402457;2231488;3716591;3669246;6475303;4001061;3657090;6158564;3336958;3409095;10447053
2005;Lohn- und veranlagte Einkommenssteuer (Bund);4149375;3589521;2506300;3638514;3823830;6303071;3936311;3479711;6320822;3342314;3328150;10273101
2006;Lohn- und veranlagte Einkommenssteuer (Bund);4263280;3748726;3034233;3990633;4074460;7076702;4396053;3886306;6803181;3736382;3618638;10947221
2007;Lohn- und veranlagte Einkommenssteuer (Bund);4878935;4108531;4312115;4681817;4584623;7918353;4678197;4207790;7563648;4127956;3967531;11606492
2008;Lohn- und veranlagte Einkommenssteuer (Bund);5438710;4478353;5578635;5234702;5175748;8756339;5382786;4619441;8247572;4607316;4442599;12234311
2009;Lohn- und veranlagte Einkommenssteuer (Bund);5659592;4021338;6020711;4449832;4176949;8212521;4890474;4015032;7619448;4096061;4028174;11487738
2010;Lohn- und veranlagte Einkommenssteuer (Bund);5127267;3969687;6377161;4936092;3819146;8299085;4616996;3842483;7590631;3929266;3725174;11377292
2011;Lohn- und veranlagte Einkommenssteuer (Bund);5221913;4249066;7202874;5050107;4619730;8821780;4969285;4267479;8061218;4309005;4181831;12037329
2012;Lohn- und veranlagte Einkommenssteuer (Bund);5403331;4728195;7957301;5456226;4708250;9452382;5511656;4945994;8862317;4737059;4546002;12880267
2013;Lohn- und veranlagte Einkommenssteuer (Bund);5954258;5006656;9106572;5790879;5208230;10212793;5712741;5081401;9530529;5019493;4863720;13715704
2014;Lohn- und veranlagte Einkommenssteuer (Bund);6383919;5367419;9857015;6225213;5374126;10810914;6086145;5462299;9939424;5335191;5332948;14603312
2015;Lohn- und veranlagte Einkommenssteuer (Bund);6741554;5819687;10682332;6738555;5804883;11507238;6421898;5898697;10594330;5405356;5631772;15428838
2016;Lohn- und veranlagte Einkommenssteuer (Bund);6861702;6145715;11282549;6950495;5978408;11830995;6772136;5826260;11437128;6011649;5871158;16463515
2017;Lohn- und veranlagte Einkommenssteuer (Bund);7400398;6709745;12374979;7453348;6408948;12947108;7104475;6450766;11933260;6242902;6244010;17084639
2018;Lohn- und veranlagte Einkommenssteuer (Bund);7773131;7233126;12915903;7940863;6903788;13326116;7478086;6797579;12520815;6753986;6744393;17786874
2019;Lohn- und veranlagte Einkommenssteuer (Bund);8318279;7247556;13494254;...;...;...;...;...;...;...;...;...
